id,check,pass,evidence
F4_01,Original formal runner exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m.m"
F4_02,Seed-aware formal clone exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\run_guarded_triobjective_formal_ga_v96m_seedaware_v96z_rngfix.m"
F4_03,Design v96l exists,1,"C:\Users\PC\MATLAB Drive\modelo_deshidratador_GA_chile_red_controlado_v1_3_HYBRID_IRR_COMPARE_CONSOLIDADA\02_src_limpio\production\design_triobjective_formal_run_v96l.m"
F4_04,Original has gamultiobj,1,"gamultiobj found in original."
F4_05,Seed-aware has gamultiobj,1,"gamultiobj found in seed-aware clone."
F4_06,Seed-aware has optimoptions,1,"optimoptions/gamultiobj found."
F4_07,Original fixed seed documented,1,"rng(614960,'twister') detected in original."
F4_08,Seed-aware external branch present,1,"rngSeed + EXTERNAL_SEED_APPLIED present."
F4_09,Seed metadata present,1,"rngSeed_v96z and rngControl_v96z present."
F4_10,Formal popSize detected,1,"24"
F4_11,Formal maxGen detected,1,"50"
F4_12,x_selected extracted,1,"[0.0740767982118 62.6832965028 0.672252618341 11.6517528081]"
F4_13,lb_global extracted,1,"[0.05 55 0 8]"
F4_14,ub_global extracted,1,"[0.12 70 0.95 14]"
F4_15,delta_formal extracted,1,"[0.02 5 0.25 3]"
F4_16,lb_formal computed,1,"[0.0540767982118 57.6832965028 0.422252618341 8.6517528081]"
F4_17,ub_formal computed,1,"[0.0940767982118 67.6832965028 0.922252618341 14]"
F4_18,Bounds table complete,1,"Tbounds finite."
F4_19,Runner uses Sdesign bounds,1,"lb/ub loaded from Sdesign."
F4_20,Design saves bounds,1,"v96l saves x_selected/lb_global/ub_global/delta/lb_formal/ub_formal/nvars."
F4_21,optimoptions block extracted,1,"optimoptions block captured."
F4_22,opts saved by formal clone,1,"save list contains opts."
F4_23,X/F saved by formal clone,1,"save list contains X and F."
F4_24,output/population/scores saved,1,"save list contains output, population, scores."
F4_25,lb/ub saved,1,"save list contains lb and ub."
F4_26,No GA executed by audit,1,"Source-only audit; no gamultiobj call."
F4_27,Protected original not modified,1,"Audit read-only for v96m."
