parameter,value,source_or_comment
algorithm,"gamultiobj","Solver used for multiobjective genetic algorithm."
objective_count,"3","Objectives: MR, specific cost, specific CO2."
decision_variables,"4","m_max, T_min, r_div2, t_rec_ini."
modeFormal,"hybrid","Formal optimization mode."
referenceMode,"gasLP","Reference mode for comparative interpretation."
popSize_seedaware_formal,"24","Explicit assignment in seed-aware formal clone."
maxGen_seedaware_formal,"50","Explicit assignment in seed-aware formal clone."
popSize_original_v96m,"24","Explicit assignment in original v96m."
maxGen_original_v96m,"50","Explicit assignment in original v96m."
popSize_smoke,"8","Smoke-only reduced population."
maxGen_smoke,"5","Smoke-only reduced generations."
rng_original_v96m,"Internal fixed rng(614960,'twister')","Reason for rngfix."
rng_seedaware,"External rngSeed if provided; legacy seed only if omitted","Seed-aware clone behavior."
rng_type,"twister","RNG type used in seed control."
seeds_smoke,"61001, 61002","Used for seed-aware smoke."
seeds_formal_planned,"61001, 61002, 61003","Planned formal independent-seed replicates."
confirm_execute_policy,"Required true for GA execution","Guarded execution policy."
emission_factors_status,"PROVISIONAL_FOR_CODE_VALIDATION","CO2 factors not final for manuscript claims."
x_selected_raw,"...
        0.0740767982118, ...
        62.6832965028, ...
        0.672252618341, ...
        11.6517528081","From design_triobjective_formal_run_v96l.m."
lb_global_raw,"0.05, 55, 0.00, 8.00","From design_triobjective_formal_run_v96l.m."
ub_global_raw,"0.12, 70, 0.95, 14.00","From design_triobjective_formal_run_v96l.m."
delta_formal_raw,"0.020, 5.0, 0.25, 3.0","From design_triobjective_formal_run_v96l.m."
lb_formal_formula,"max(lb_global, x_selected - delta_formal)","Formal lower-bound formula."
ub_formal_formula,"min(ub_global, x_selected + delta_formal)","Formal upper-bound formula."
optimoptions_raw,"opts = optimoptions('gamultiobj', ...
        'PopulationSize', popSize, ...
        'MaxGenerations', maxGen, ...
        'Display', 'iter', ...
        'UseParallel', false, ...
        'FunctionTolerance', 1e-5, ...
        'ConstraintTolerance', 1e-6, ...
        'PlotFcn', []);","Raw optimoptions block extracted from seed-aware clone."
